,song_title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_and_artist,cluster
0,bohemian rhapsody - remastered 2011,Queen,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.28800000000000003,0.0,0.243,0.228,143.88299999999998,354320,Bohemian Rhapsody - Remastered 2011 - Queen,2
1,roller coaster,Danny Vera,5B5YKjgne3TZzNpMsN9aj1,0.401,0.38299999999999995,9,-10.048,1,0.0279,0.51,0.0078,0.121,0.285,96.95700000000001,269986,Roller Coaster - Danny Vera,2
2,hotel california - 2013 remaster,Eagles,40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027000000000000003,0.0057399999999999994,0.0004940000000000001,0.0575,0.609,147.125,391376,Hotel California - 2013 Remaster - Eagles,5
3,piano man,Billy Joel,3FCto7hnn1shUyZL42YgfO,0.33399999999999996,0.47200000000000003,0,-8.791,1,0.0277,0.6,3.62e-06,0.317,0.431,179.173,336093,Piano Man - Billy Joel,2
4,fix you,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.41700000000000004,3,-8.74,1,0.0338,0.16399999999999998,0.00196,0.113,0.124,138.178,295533,Fix You - Coldplay,5
5,stairway to heaven - remaster,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc,0.33799999999999997,0.34,9,-12.049000000000001,0,0.0339,0.58,0.0032,0.11599999999999999,0.19699999999999998,82.43299999999999,482830,Stairway to Heaven - Remaster - Led Zeppelin,2
6,black,Pearl Jam,5Xak5fmy089t0FYmh3VJiY,0.36,0.684,4,-6.457000000000001,0,0.0308,0.32299999999999995,0.0,0.34,0.2,77.15,342653,Black - Pearl Jam,5
7,avond,Boudewijn de Groot,5Gc1NPkUBjkARUkH1Giwvh,0.479,0.365,0,-15.277999999999999,1,0.040999999999999995,0.657,0.000544,0.12,0.166,98.18299999999999,276560,Avond - Boudewijn de Groot,2
8,nothing else matters (remastered),Metallica,2CtemffYhT0DJWcT1XW047,0.547,0.39399999999999996,4,-9.793,0,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,388733,Nothing Else Matters (Remastered) - Metallica,5
9,love of my life - remastered 2011,Queen,790YJcgHlN3SaosQCHlWzn,0.331,0.183,5,-11.63,1,0.0287,0.9359999999999999,9.07e-06,0.115,0.26,79.195,217400,Love Of My Life - Remastered 2011 - Queen,2
10,wish you were here,Pink Floyd,6mFkJmJqdDVQ1REhVfGgd1,0.48100000000000004,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.8320000000000001,0.375,122.861,334744,Wish You Were Here - Pink Floyd,0
11,november rain,Guns N' Roses,3YRCqOhFifThpSRFJ1VWFM,0.294,0.6409999999999999,11,-9.316,1,0.0291,0.0163,0.22,0.11199999999999999,0.226,79.759,536067,November Rain - Guns N' Roses,5
12,comfortably numb,Pink Floyd,5HNCy40Ni5BZJFw1TKzRsC,0.47200000000000003,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,382297,Comfortably Numb - Pink Floyd,2
13,brothers in arms,Dire Straits,26tWBbtjvgi0tipRL2VQ2X,0.22,0.44,8,-9.456,0,0.0352,0.503,0.862,0.12,0.13,79.095,419400,Brothers in Arms - Dire Straits,6
14,radar love,Golden Earring,5tU9JM1v72X7oM808Am6Fq,0.504,0.7190000000000001,1,-9.155,0,0.0431,0.00878,0.00149,0.075,0.177,102.14399999999999,386707,Radar Love - Golden Earring,5
15,child in time,Deep Purple,5TrfusgKC1BYic5LaWCoKm,0.33799999999999997,0.461,9,-10.74,0,0.0396,0.17,0.564,0.0927,0.35100000000000003,126.698,620373,Child in Time - Deep Purple,6
16,africa,TOTO,2374M0fQpWi3dLnB54qaLX,0.6709999999999999,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.71799999999999,295893,Africa - TOTO,2
17,the sound of silence,Disturbed,1Cj2vqUwlJVG27gJrun92y,0.322,0.28,6,-9.367,0,0.0281,0.46799999999999997,1.1e-06,0.102,0.175,85.794,248467,The Sound of Silence - Disturbed,2
18,soldier on,DI-RECT,5ciRElWhvA0LuG2hQi90Ie,0.358,0.44,3,-7.563,1,0.0284,0.843,0.0,0.105,0.195,180.044,207854,Soldier On - DI-RECT,2
19,sultans of swing,Dire Straits,6cr6UDpkjEaMQ80OjWqEBQ,0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.9229999999999999,148.217,350400,Sultans of Swing - Dire Straits,1
20,purple rain,Prince,54X78diSLoUDI3joC2bjMz,0.36700000000000005,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.6890000000000001,0.18899999999999997,113.066,520787,Purple Rain - Prince,0
21,one (remastered),Metallica,0LAcM6I7ijW4VVW0aytl1t,0.43799999999999994,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,446146,One (Remastered) - Metallica,0
22,the river,Bruce Springsteen,7HrzErXq3TsKOY1gmdIShB,0.5870000000000001,0.536,7,-11.248,1,0.0304,0.179,2.75e-05,0.305,0.59,117.49799999999999,301547,The River - Bruce Springsteen,2
23,paradise by the dashboard light,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.49200000000000005,173.38099999999997,508333,Paradise By the Dashboard Light - Meat Loaf,5
24,go your own way - 2004 remaster,Fleetwood Mac,07GvNcU1WdyZJq3XxP0kZa,0.583,0.9470000000000001,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.8029999999999999,135.44799999999998,223613,Go Your Own Way - 2004 Remaster - Fleetwood Mac,1
25,heroes - 2017 remaster,David Bowie,7Jh1bpe76CNTCgdgAdBw4Z,0.489,0.758,7,-6.4910000000000005,1,0.0297,0.000678,0.49,0.092,0.435,112.113,371413,Heroes - 2017 Remaster - David Bowie,6
26,shine on you crazy diamond (pts. 1-5),Pink Floyd,6pnwfWyaWjQiHCKTiZLItr,0.264,0.294,7,-11.940999999999999,0,0.027999999999999997,0.772,0.6859999999999999,0.107,0.0402,137.937,811077,Shine On You Crazy Diamond (Pts. 1-5) - Pink Floyd,6
27,thunderstruck,AC/DC,57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,Thunderstruck - AC/DC,5
28,master of puppets (remastered),Metallica,54bm2e3tk8cliUz3VSdCPZ,0.539,0.828,4,-9.107999999999999,0,0.035,0.00067,0.42100000000000004,0.154,0.562,105.25,515387,Master of Puppets (Remastered) - Metallica,6
29,telegraph road,Dire Straits,071BtONQBIq4SkvO0okS4k,0.381,0.5920000000000001,2,-10.124,0,0.0322,0.016,0.363,0.273,0.285,124.984,858533,Telegraph Road - Dire Straits,6
30,viva la vida,Coldplay,1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.41700000000000004,138.015,242373,Viva La Vida - Coldplay,4
